pl_name,pl_orbper,pl_rade,st_teff,st_rad,sy_snum,sy_pnum,disc_year,discoverymethod,target_confirmed
4459.01,5.7475343,6.43097,3750.0,0.58,1.0,1.0,2016.0,Transit,0
Kepler-170 c,16.66591162,2.73,5600.0,1.0,1.0,2.0,2014,Transit,1
3913.01,4.0384773,7.98387,4180.4,0.83,1.0,1.0,2016.0,Transit,0
TOI-1710 b,24.2833782,5.21152,5675.0,0.98,2.0,1.0,2022,Transit,1
4894.01,3.5611222,12.6024,5260.0,1.76,1.0,1.0,2016.0,Transit,0
6742.01,8.1678648,10.7664,5859.0,1.74,1.0,1.0,2016.0,Transit,0
Kepler-1577 b,6.3056024058,2.44,4698.0,0.750229,1.0,1.0,2016,Transit,1
HD 4917 b,400.5,2.44,4802.0,5.01,1.0,1.0,2018,Radial Velocity,1
TOI-3261 b,0.8831279,4.37490943,5151.4,0.86,1.0,1.0,2024,Transit,1
Kepler-141 c,7.0106324,2.44,4847.2,0.848294,1.0,2.0,2014,Transit,1
4010.03,1.3483075,3.1949876,4888.0,0.880213,1.0,1.0,2016.0,Transit,0
2506.01,14.9695925,3.04784,6456.0,1.46,1.0,1.0,2016.0,Transit,0
Kepler-85 c,12.513,2.14,5552.0,0.872,1.0,4.0,2012,Transit,1
TOI-2018 b,7.43557089552,2.27615636,4218.9,0.622512,1.0,1.0,2023,Transit,1
2114.01,6.2099619,14.369,6382.0,2.1,1.0,1.0,2016.0,Transit,0
GJ 676 A b,1050.3,2.44,5552.0,0.95,2.0,4.0,2010,Radial Velocity,1
Kepler-214 c,28.7799567556,2.44,6036.57,1.64616,1.0,2.0,2014,Transit,1
1629.01,4.5421594,17.3816,5939.3,1.73,1.0,1.0,2016.0,Transit,0
Kepler-182 c,20.68422311,4.297,5960.0,1.334,1.0,2.0,2014,Transit,1
2583.01,4.52074,13.7321,6050.0,1.49,1.0,1.0,2016.0,Transit,0
Kepler-1972 b,7.54425,0.802,5818.0,1.384,1.0,2.0,2022,Transit,1
Kepler-1704 b,988.8811177,10.81,5755.0,1.549,1.0,1.0,2013,Transit,1
3307.01,3.8784358,11.8812,5636.0,1.14,1.0,1.0,2016.0,Transit,0
K2-286 b,27.359,2.1,3926.0,0.62,1.0,1.0,2018,Transit,1
3235.01,2.5926199,11.0137,3375.0,0.37,1.0,1.0,2016.0,Transit,0
2224.01,0.5055105,4.9709812,4996.3,1.01489,1.0,1.0,2016.0,Transit,0
2267.01,3.4950422,1.2734423,3022.0,0.242745,1.0,1.0,2016.0,Transit,0
K2-261 b,11.63345,2.44,5537.0,1.65,1.0,1.0,2018,Transit,1
GJ 2030 b,2.38129,2.44,5552.0,0.95,1.0,2.0,2022,Radial Velocity,1
Kepler-330 c,15.95545002,2.23,5033.0,0.76,1.0,2.0,2014,Transit,1
Kepler-858 b,76.13354,5.26,5493.0,0.982,1.0,1.0,2016,Transit,1
380.01,0.5045539,18.3768141,5227.0,1.0,1.0,1.0,2016.0,Transit,0
4906.01,11.9768241,8.81618,6059.0,1.09,1.0,1.0,2016.0,Transit,0
HD 202696 c,946.6,2.44,5040.0,6.43,1.0,2.0,2019,Radial Velocity,1
Kepler-783 b,4.29264638,0.707,5381.0,0.848,1.0,2.0,2016,Transit,1
4796.01,3.5775958,15.3215,6355.0,1.61,1.0,1.0,2016.0,Transit,0
Kepler-80 c,9.521644639,2.16,4041.0,0.567,1.0,6.0,2012,Transit,1
Kepler-879 b,33.3855938,2.54,5833.0,1.022,1.0,2.0,2016,Transit,1
TOI-3757 b,3.438753,12.0,3913.0,0.62,1.0,1.0,2022,Transit,1
WASP-71 b,2.9036747,16.36514,6050.0,2.26,1.0,1.0,2012,Transit,1
4882.01,4.4360402,11.7883,6633.0,1.39,1.0,1.0,2016.0,Transit,0
3411.01,7.0628019,2.44,5552.0,0.95,1.0,1.0,2016.0,Transit,0
Kepler-856 b,8.0276822757,2.44,5368.0,1.12772,1.0,1.0,2016,Transit,1
Kepler-574 b,7.65880414,2.25,5657.0,0.855,1.0,1.0,2016,Transit,1
5163.01,15.4658691,5.07911,5480.8,1.02,1.0,1.0,2016.0,Transit,0
5237.01,2.9889845,17.7415,6002.0,1.42,1.0,1.0,2016.0,Transit,0
6564.01,3.9854465,16.4220671,5904.0,1.71105,1.0,1.0,2016.0,Transit,0
Kepler-1405 b,28.2274965369,2.44,5653.0,1.06976,1.0,1.0,2016,Transit,1
4033.01,3.6142971,2.44,5552.0,0.95,1.0,1.0,2016.0,Transit,0
Kepler-1735 b,7.71792296,0.92,3939.0,0.52,1.0,1.0,2021,Transit,1
HD 73344 b,15.61136332661,2.90333467,6061.77,1.22568,1.0,3.0,2024,Transit,1
Kepler-123 b,17.23231686,2.51,6086.0,1.092,1.0,2.0,2014,Transit,1
6976.01,1.7346044,4.46251,6850.0,1.49,1.0,1.0,2016.0,Transit,0
6448.01,14.8442674,7.05099,5920.0,0.96,1.0,1.0,2016.0,Transit,0
L 98-59 c,3.6906758578,1.36751,3469.0,0.31,1.0,5.0,2019,Transit,1
2857.01,0.6216031,8.6439547,8038.0,1.50848,1.0,1.0,2016.0,Transit,0
K2-369 b,5.761612,1.313,5682.0,0.881,1.0,1.0,2022,Transit,1
2675.01,1.476869,13.2219,6712.0,1.37,1.0,1.0,2016.0,Transit,0
1682.01,2.7347651,17.805,6767.9,1.77,1.0,1.0,2016.0,Transit,0
Kepler-1032 b,3.290114076,1.49,4484.0,0.594,1.0,1.0,2016,Transit,1
2090.01,230.92212,3.6785805,6395.0,2.1204,1.0,1.0,2016.0,Transit,0
